DEPWell experiment:, NIH 400 3, 12 November 2019, 13:11:38

Number of Images:,50
Bands analysed:,5,to,9
Experiment analysed up to:,30 seconds

DEP-Spectrum
Freqency [Hz], Intesity, Remarks
10000 , -1.12122075633609 ,  
15473.2700358051 , -1.05232146509245 ,  
23942.2085600945 , -1.08818930560683 ,  
37046.4258303906 , -0.714295915530163 ,  
57322.935073506 , 0.29931050345055 , Point removed from analysis / Manually removed  Outlier  
88697.3253637283 , 0.205000797657157 ,  
137243.766680664 , 0.604904173447123 ,  
212360.986258094 , 1.01152501810929 ,  
328591.888544139 , 1.26540554342861 ,  
508439.102301864 , 0.999098811657641 ,  
786721.552667908 , 0.953130290247758 ,  
1217315.50274184 , 1.19902929525509 ,  
1883585.14926964 , 1.53033638681606 ,  
2914522.16500814 , 1.60414812712635 ,  
4509718.84845104 , 1.29746319170432 ,  
6978009.7527643 , 0.905028193584176 ,  
10797262.9217004 , 1.13886836676851 ,  
16706896.4835056 , 0.992223111070399 ,  
25851032.0749525 , 0.502539778057923 ,  
40000000 , 0.225638388408365 ,  

Auto-Fit Singel-Shell Modelparameters: 
Pearson Correlation Coeffcient R: 0.983609607104396
Midpoint Membrane:  , 79.3048920272516, kHz
Midpoint Cytoplasm:  , 28114.8441946016, kHz
Cell parameters: 
Cytoplasm Conductivity:  , 0.246074932344272S/m +-0.0254400827296594
Cytoplasm Permitivity:  , 40 (Fixed)
Specific Membrane Conductance:  , 0.1, S/m^2 +-0
Spcific Membrane Capacitance:  , 0.0152187396985049, F/m^2 +-0.00108175488514878
Cell Radius:  , 7.5, um (Fixed)
Medium Coductivity:  , 0.04, S/m (Fixed)
Medium Permitivity:  , 78 (Fixed)

Model Spectrum
Freqency, Intesity, Scaled to Data
10000 , -0.484089535608254 , -0.993103594524445
15473.2700358051 , -0.462661162979204 , -0.949143557553227
23942.2085600945 , -0.414570058451228 , -0.85048526139449
37046.4258303906 , -0.315043050606641 , -0.646306856425399
88697.3253637283 , 0.0964952442020676 , 0.197958779983084
137243.766680664 , 0.321407148812889 , 0.65936272386238
212360.986258094 , 0.47493433879364 , 0.974321823392483
328591.888544139 , 0.557446990397118 , 1.14359549050077
508439.102301864 , 0.596089571300512 , 1.22287025926569
786721.552667908 , 0.612813879386874 , 1.2571799669846
1217315.50274184 , 0.619309976315818 , 1.27050662814121
1883585.14926964 , 0.620507425150819 , 1.27296317936743
2914522.16500814 , 0.617347751324439 , 1.2664811482478
4509718.84845104 , 0.607434187635521 , 1.24614359701021
6978009.7527643 , 0.583694410750698 , 1.19744174327585
10797262.9217004 , 0.531839138624377 , 1.09106130462624
16706896.4835056 , 0.431789875330264 , 0.885811499170186
25851032.0749525 , 0.27642774332714 , 0.567088039156908
40000000 , 0.10091214221767 , 0.207019990716405
